Item,"All
consumer
units","Less
than
$15,000","$15,000
to
$29,999","$30,000
to
$39,999","$40,000
to
$49,999","$50,000
to
$69,999","$70,000
to
$99,999","$100,000
to
$149,999","$150,000
to
$199,999","$200,000
and
more"
"Maintenance, repairs, insurance, other expenses",,,,,,,,,,
Mean,"1,616",585,"1,005","1,123","1,300","1,383","1,715","2,208","3,761","4,157"
Share,2.7,2.4,3.0,2.7,2.8,2.6,2.6,2.6,3.3,2.6
SE,57.64,58.26,77.44,80.60,121.19,101.56,122.68,124.28,821.85,345.68
CV(%),3.57,9.96,7.70,7.18,9.32,7.35,7.15,5.63,21.85,8.31
Rented dwellings,,,,,,,,,,
Mean,"4,167","3,907","4,540","4,424","4,277","4,704","4,400","3,357","3,282","3,796"
Share,6.9,15.9,13.6,10.6,9.2,8.7,6.7,3.9,2.8,2.4
SE,66.09,161.30,148.36,148.77,201.60,143.48,200.10,235.83,472.55,548.59
CV(%),1.59,4.13,3.27,3.36,4.71,3.05,4.55,7.03,14.40,14.45
Other lodging,,,,,,,,,,
Mean,782,188,262,370,379,544,798,"1,216","1,808","3,672"
Share,1.3,.8,.8,.9,.8,1.0,1.2,1.4,1.6,2.3
SE,28.70,29.70,32.55,35.62,43.20,44.87,63.01,85.98,101.21,273.27
CV(%),3.67,15.78,12.44,9.62,11.39,8.25,7.89,7.07,5.60,7.44
"Utilities, fuels, and public services",,,,,,,,,,
Mean,"3,836","2,163","2,872","3,457","3,600","3,851","4,348","4,910","5,510","6,302"
Share,6.4,8.8,8.6,8.3,7.8,7.1,6.6,5.7,4.8,3.9
SE,40.75,62.32,43.85,58.82,55.91,63.58,69.83,60.98,88.46,153.93
CV(%),1.06,2.88,1.53,1.70,1.55,1.65,1.61,1.24,1.61,2.44
Natural gas,,,,,,,,,,
Mean,381,212,286,317,365,352,419,489,599,714
Share,.6,.9,.9,.8,.8,.6,.6,.6,.5,.4
SE,11.21,12.91,12.88,17.64,17.36,18.59,18.17,18.62,26.78,30.41
CV(%),2.94,6.09,4.51,5.57,4.76,5.28,4.33,3.81,4.47,4.26
Electricity,,,,,,,,,,
Mean,"1,420",950,"1,194","1,371","1,364","1,450","1,526","1,666","1,806","2,097"
Share,2.4,3.9,3.6,3.3,2.9,2.7,2.3,1.9,1.6,1.3
SE,16.65,32.99,23.22,30.14,24.94,23.94,33.53,38.29,43.47,56.26
CV(%),1.17,3.47,1.94,2.20,1.83,1.65,2.20,2.30,2.41,2.68
Fuel oil and other fuels,,,,,,,,,,
Mean,97,56,81,73,88,83,99,133,174,169
Share,.2,.2,.2,.2,.2,.2,.2,.2,.2,.1
SE,8.73,7.28,12.05,9.40,12.30,13.33,10.59,16.03,31.74,34.95
CV(%),9.00,13.01,14.89,12.79,14.03,15.98,10.67,12.01,18.29,20.71
Telephone services,,,,,,,,,,
Mean,"1,356",650,887,"1,191","1,250","1,385","1,636","1,858","2,069","2,262"
Share,2.3,2.6,2.7,2.9,2.7,2.6,2.5,2.2,1.8,1.4
SE,17.36,20.38,14.33,26.17,25.67,27.55,33.57,32.44,42.68,78.01
CV(%),1.28,3.13,1.62,2.20,2.05,1.99,2.05,1.75,2.06,3.45
"Residential phone service, VOIP, and phone cards",,,,,,,,,,
Mean,238,181,243,249,247,199,243,247,275,341
Share,.4,.7,.7,.6,.5,.4,.4,.3,.2,.2
SE,5.24,11.34,6.28,13.44,10.10,9.67,11.70,9.83,11.84,19.76
CV(%),2.20,6.26,2.58,5.40,4.10,4.85,4.82,3.98,4.31,5.79
Cellular phone service,,,,,,,,,,
Mean,"1,118",469,644,942,"1,004","1,185","1,393","1,611","1,795","1,921"
Share,1.9,1.9,1.9,2.3,2.2,2.2,2.1,1.9,1.6,1.2
SE,16.54,20.94,12.44,29.04,23.55,27.77,29.82,29.85,43.36,71.43
CV(%),1.48,4.46,1.93,3.08,2.35,2.34,2.14,1.85,2.42,3.72
Water and other public services,,,,,,,,,,
Mean,583,295,424,504,534,582,667,764,863,"1,060"
Share,1.0,1.2,1.3,1.2,1.2,1.1,1.0,.9,.7,.7
SE,13.79,18.00,15.04,23.19,23.39,20.34,21.00,22.54,28.78,46.30
CV(%),2.37,6.10,3.55,4.60,4.38,3.50,3.15,2.95,3.34,4.37
Household operations,,,,,,,,,,
Mean,"1,412",458,744,889,"1,002","1,163","1,421","2,064","2,744","5,046"
Share,2.4,1.9,2.2,2.1,2.2,2.1,2.1,2.4,2.4,3.1
SE,38.05,27.03,47.47,33.25,63.73,59.02,61.18,76.97,170.41,405.43
CV(%),2.70,5.90,6.38,3.74,6.36,5.07,4.31,3.73,6.21,8.03
Personal services,,,,,,,,,,
Mean,439,58,136,130,247,317,437,822,988,"2,011"
Share,.7,.2,.4,.3,.5,.6,.7,1.0,.9,1.2
SE,27.13,16.95,35.99,20.80,55.10,50.74,46.43,71.21,115.06,306.26
CV(%),6.18,29.38,26.42,15.97,22.31,16.03,10.62,8.67,11.65,15.23
Other household expenses,,,,,,,,,,
Mean,973,401,608,759,755,847,984,"1,242","1,756","3,035"
Share,1.6,1.6,1.8,1.8,1.6,1.6,1.5,1.4,1.5,1.9
SE,21.61,19.38,23.11,27.23,27.13,30.79,33.59,38.04,82.85,203.90
CV(%),2.22,4.84,3.80,3.59,3.60,3.64,3.41,3.06,4.72,6.72
Housekeeping supplies,,,,,,,,,,
Mean,755,391,542,628,558,768,783,981,"1,182","1,577"
Share,1.3,1.6,1.6,1.5,1.2,1.4,1.2,1.1,1.0,1.0
SE,23.58,34.68,57.40,43.61,36.26,91.32,39.36,57.39,116.53,126.35
CV(%),3.12,8.86,10.59,6.95,6.50,11.90,5.02,5.85,9.86,8.01
Laundry and cleaning supplies,,,,,,,,,,
Mean,177,106,133,173,161,156,205,212,278,289
Share,.3,.4,.4,.4,.3,.3,.3,.2,.2,.2
SE,5.08,11.07,13.25,16.01,13.15,13.28,15.89,11.52,38.23,31.15
CV(%),2.87,10.49,9.95,9.26,8.16,8.53,7.76,5.43,13.78,10.79
Other household products,,,,,,,,,,
Mean,428,196,294,349,296,450,432,586,727,899
Share,.7,.8,.9,.8,.6,.8,.7,.7,.6,.6
SE,20.66,22.83,54.88,37.01,26.51,82.54,30.32,49.34,91.22,83.80
CV(%),4.83,11.66,18.64,10.62,8.95,18.33,7.02,8.42,12.55,9.32
Postage and stationery,,,,,,,,,,
Mean,150,90,115,106,100,161,147,183,178,389
Share,.2,.4,.3,.3,.2,.3,.2,.2,.2,.2
SE,7.83,14.14,13.93,10.85,12.14,29.91,14.61,15.43,25.89,75.57
CV(%),5.23,15.73,12.16,10.20,12.10,18.54,9.95,8.46,14.57,19.41
Household furnishings and equipment,,,,,,,,,,
Mean,"1,987",787,995,"1,140","1,507","1,875","2,362","2,994","4,091","4,882"
Share,3.3,3.2,3.0,2.7,3.3,3.5,3.6,3.5,3.5,3.0
SE,58.55,57.24,58.09,81.03,132.07,109.04,203.46,149.74,501.42,323.71
CV(%),2.95,7.27,5.84,7.11,8.77,5.82,8.61,5.00,12.26,6.63
Household textiles,,,,,,,,,,
Mean,114,72,79,83,74,121,118,189,99,231
Share,.2,.3,.2,.2,.2,.2,.2,.2,.1,.1
SE,8.78,14.10,14.28,16.78,11.14,30.93,14.83,29.72,14.96,40.76
CV(%),7.70,19.59,18.17,20.10,15.05,25.48,12.57,15.72,15.07,17.68
Furniture,,,,,,,,,,
Mean,515,199,266,304,329,468,529,770,"1,132","1,591"
Share,.9,.8,.8,.7,.7,.9,.8,.9,1.0,1.0
SE,26.06,33.67,29.48,36.06,41.99,27.20,45.03,67.74,278.43,174.35
CV(%),5.06,16.88,11.09,11.87,12.78,5.81,8.51,8.80,24.60,10.96
Floor coverings,,,,,,,,,,
Mean,30,9,7,13,14,14,20,29,82,232
Share,.1,a/,a/,a/,a/,a/,a/,a/,.1,.1
SE,7.50,4.60,1.57,4.70,2.84,2.10,3.40,4.47,23.10,134.63
CV(%),24.65,50.49,23.39,35.51,20.62,15.24,17.36,15.30,28.33,57.99
Major appliances,,,,,,,,,,
Mean,280,133,139,201,233,302,288,417,511,671
Share,.5,.5,.4,.5,.5,.6,.4,.5,.4,.4
SE,11.93,24.86,12.25,22.01,29.82,30.78,25.02,50.97,82.28,77.23
CV(%),4.26,18.70,8.81,10.97,12.79,10.19,8.70,12.22,16.10,11.51
"Small appliances, miscellaneous housewares",,,,,,,,,,
Mean,131,61,80,73,86,112,150,188,338,270
Share,.2,.2,.2,.2,.2,.2,.2,.2,.3,.2
SE,7.63,8.10,8.05,8.32,12.31,7.93,12.66,21.98,117.70,36.24
CV(%),5.84,13.20,10.05,11.44,14.31,7.10,8.42,11.69,34.83,13.42
Miscellaneous household equipment,,,,,,,,,,
Mean,916,313,425,466,771,857,"1,258","1,400","1,930","1,887"
Share,1.5,1.3,1.3,1.1,1.7,1.6,1.9,1.6,1.7,1.2
SE,38.04,33.75,42.36,48.64,113.10,93.04,183.59,108.12,387.71,134.09
CV(%),4.15,10.80,9.97,10.43,14.67,10.86,14.60,7.72,20.09,7.10
,,,,,,,,,,
Apparel and services,,,,,,,,,,
Mean,"1,833",880,"1,002","1,316","1,352","1,423","1,981","2,762","3,424","4,779"
Share,3.1,3.6,3.0,3.2,2.9,2.6,3.0,3.2,3.0,3.0
SE,56.45,96.61,89.74,108.44,114.17,100.06,107.38,196.02,284.01,454.24
CV(%),3.08,10.97,8.96,8.24,8.44,7.03,5.42,7.10,8.29,9.50
Men and boys,,,,,,,,,,
Mean,442,207,201,342,324,367,420,684,892,"1,234"
Share,.7,.8,.6,.8,.7,.7,.6,.8,.8,.8
SE,16.38,35.84,23.95,45.38,42.26,33.93,30.62,57.48,134.92,159.43
CV(%),3.70,17.28,11.91,13.29,13.05,9.24,7.30,8.41,15.13,12.92
"Men, 16 and over",,,,,,,,,,
Mean,342,159,139,253,251,276,328,510,724,"1,043"
Share,.6,.6,.4,.6,.5,.5,.5,.6,.6,.6
SE,15.35,35.26,20.86,40.87,40.00,29.99,26.54,53.15,115.69,163.17
CV(%),4.48,22.15,15.00,16.18,15.92,10.86,8.09,10.43,15.99,15.65
"Boys, 2 to 15",,,,,,,,,,
Mean,100,48,62,89,73,91,92,174,168,191
Share,.2,.2,.2,.2,.2,.2,.1,.2,.1,.1
SE,5.31,10.32,12.05,17.16,14.10,10.47,10.24,24.26,39.48,25.10
CV(%),5.32,21.40,19.42,19.28,19.43,11.50,11.17,13.95,23.51,13.15
Women and girls,,,,,,,,,,
Mean,694,330,380,462,466,531,771,"1,070","1,147","1,949"
Share,1.2,1.3,1.1,1.1,1.0,1.0,1.2,1.2,1.0,1.2
SE,24.30,63.92,40.73,41.37,55.30,52.43,56.44,92.05,110.17,242.94
CV(%),3.50,19.39,10.73,8.95,11.87,9.88,7.32,8.60,9.60,12.46
"Women, 16 and over",,,,,,,,,,
Mean,580,291,316,378,383,420,627,912,930,"1,691"
Share,1.0,1.2,1.0,.9,.8,.8,.9,1.1,.8,1.0
SE,23.07,63.06,34.95,36.96,54.94,51.93,52.06,85.12,102.83,234.90
CV(%),3.98,21.65,11.05,9.77,14.33,12.36,8.30,9.34,11.06,13.89
"Girls, 2 to 15",,,,,,,,,,
Mean,114,38,63,84,82,110,144,159,217,258
Share,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2
SE,6.60,11.39,12.50,13.78,13.37,15.39,23.12,23.18,32.69,33.22
CV(%),5.78,29.74,19.73,16.42,16.27,13.94,16.02,14.62,15.05,12.87
Children under 2,,,,,,,,,,
Mean,77,20,49,49,90,71,98,105,111,159
Share,.1,.1,.1,.1,.2,.1,.1,.1,.1,.1
SE,6.43,7.08,11.93,11.67,22.39,15.96,15.98,20.61,29.21,46.73
CV(%),8.39,35.70,24.35,23.80,24.84,22.54,16.32,19.57,26.22,29.36
Footwear,,,,,,,,,,
Mean,379,226,240,287,223,302,424,558,790,759
Share,.6,.9,.7,.7,.5,.6,.6,.6,.7,.5
SE,20.56,28.53,44.91,49.87,33.27,46.87,61.59,63.17,112.59,114.61
CV(%),5.43,12.64,18.70,17.35,14.90,15.51,14.51,11.31,14.25,15.09
Other apparel products and services,,,,,,,,,,
Mean,241,98,132,176,249,152,267,344,484,678
Share,.4,.4,.4,.4,.5,.3,.4,.4,.4,.4
SE,12.92,9.22,10.00,23.71,68.22,12.12,18.22,52.32,117.09,62.76
CV(%),5.36,9.42,7.58,13.43,27.38,7.98,6.81,15.20,24.18,9.25
,,,,,,,,,,
Transportation,,,,,,,,,,
Mean,"9,576","3,401","4,930","7,191","7,529","9,545","10,795","14,041","18,753","23,342"
Share,15.9,13.8,14.8,17.3,16.3,17.6,16.3,16.3,16.3,14.5
SE,198.51,224.14,248.82,304.93,423.58,446.02,423.61,579.11,"1,821.22","1,225.66"
CV(%),2.07,6.59,5.05,4.24,5.63,4.67,3.92,4.12,9.71,5.25
Vehicle purchases (net outlay),,,,,,,,,,
Mean,"4,054","1,176","1,966","3,097","2,580","4,218","4,322","6,397","7,707","11,212"
Share,6.7,4.8,5.9,7.5,5.6,7.8,6.5,7.4,6.7,7.0
